mode,GF low,GF high,O2,depth,duration,TTS,3m,6m,9m,12m,15m,deeperstops
GF,10,10,21,1,0,0,0,0,0,0,0,0
GF,10,10,21,1,30,NaN,0,0,0,0,0,0
GF,10,10,21,1,60,NaN,0,0,0,0,0,0
GF,10,10,21,1,90,NaN,0,0,0,0,0,0
GF,10,10,21,1,120,NaN,0,0,0,0,0,0
GF,10,10,21,17,0,0,0,0,0,0,0,0
GF,10,10,21,17,30,NaN,0,0,0,0,0,0
GF,10,10,21,17,60,NaN,0,0,0,0,0,0
GF,10,10,21,17,90,NaN,0,0,0,0,0,0
GF,10,10,21,17,120,NaN,0,0,0,0,0,0
GF,10,10,21,33,0,0,0,0,0,0,0,0
GF,10,10,21,33,30,NaN,0,0,0,0,0,0
GF,10,10,21,33,60,NaN,0,0,0,0,0,0
GF,10,10,21,33,90,NaN,0,0,0,0,0,0
GF,10,10,21,33,120,NaN,0,0,0,0,0,0
GF,10,10,21,49,0,0,0,0,0,0,0,0
GF,10,10,21,49,30,NaN,0,0,0,0,0,0
GF,10,10,21,49,60,NaN,0,0,0,0,0,0
GF,10,10,21,49,90,NaN,0,0,0,0,0,0
GF,10,10,21,49,120,NaN,0,0,0,0,0,0
GF,10,10,21,65,0,0,0,0,0,0,0,0
GF,10,10,21,65,30,NaN,0,0,0,0,0,0
GF,10,10,21,65,60,NaN,0,0,0,0,0,0
GF,10,10,21,65,90,NaN,0,0,0,0,0,0
GF,10,10,21,65,120,NaN,0,0,0,0,0,0
GF,10,10,26,1,0,0,0,0,0,0,0,0
GF,10,10,26,1,30,NaN,0,0,0,0,0,0
GF,10,10,26,1,60,NaN,0,0,0,0,0,0
GF,10,10,26,1,90,NaN,0,0,0,0,0,0
GF,10,10,26,1,120,NaN,0,0,0,0,0,0
GF,10,10,26,17,0,0,0,0,0,0,0,0
GF,10,10,26,17,30,NaN,0,0,0,0,0,0
GF,10,10,26,17,60,NaN,0,0,0,0,0,0
GF,10,10,26,17,90,NaN,0,0,0,0,0,0
GF,10,10,26,17,120,NaN,0,0,0,0,0,0
GF,10,10,26,33,0,0,0,0,0,0,0,0
GF,10,10,26,33,30,NaN,0,0,0,0,0,0
GF,10,10,26,33,60,NaN,0,0,0,0,0,0
GF,10,10,26,33,90,NaN,0,0,0,0,0,0
GF,10,10,26,33,120,NaN,0,0,0,0,0,0
GF,10,10,26,49,0,0,0,0,0,0,0,0
GF,10,10,26,49,30,NaN,0,0,0,0,0,0
GF,10,10,26,49,60,NaN,0,0,0,0,0,0
GF,10,10,26,49,90,NaN,0,0,0,0,0,0
GF,10,10,26,49,120,NaN,0,0,0,0,0,0
GF,10,10,26,65,0,0,0,0,0,0,0,0
GF,10,10,26,65,30,NaN,0,0,0,0,0,0
GF,10,10,26,65,60,NaN,0,0,0,0,0,0
GF,10,10,26,65,90,NaN,0,0,0,0,0,0
GF,10,10,26,65,120,NaN,0,0,0,0,0,0
GF,10,10,31,1,0,0,0,0,0,0,0,0
GF,10,10,31,1,30,NaN,0,0,0,0,0,0
GF,10,10,31,1,60,NaN,0,0,0,0,0,0
GF,10,10,31,1,90,NaN,0,0,0,0,0,0
GF,10,10,31,1,120,NaN,0,0,0,0,0,0
GF,10,10,31,17,0,0,0,0,0,0,0,0
GF,10,10,31,17,30,NaN,0,0,0,0,0,0
GF,10,10,31,17,60,NaN,0,0,0,0,0,0
GF,10,10,31,17,90,NaN,0,0,0,0,0,0
GF,10,10,31,17,120,NaN,0,0,0,0,0,0
GF,10,10,31,33,0,0,0,0,0,0,0,0
GF,10,10,31,33,30,NaN,0,0,0,0,0,0
GF,10,10,31,33,60,NaN,0,0,0,0,0,0
GF,10,10,31,33,90,NaN,0,0,0,0,0,0
GF,10,10,31,33,120,NaN,0,0,0,0,0,0
GF,10,10,31,49,0,0,0,0,0,0,0,0
GF,10,10,31,49,30,NaN,0,0,0,0,0,0
GF,10,10,31,49,60,NaN,0,0,0,0,0,0
GF,10,10,31,49,90,NaN,0,0,0,0,0,0
GF,10,10,31,49,120,NaN,0,0,0,0,0,0
GF,10,10,31,65,0,0,0,0,0,0,0,0
GF,10,10,31,65,30,NaN,0,0,0,0,0,0
GF,10,10,31,65,60,NaN,0,0,0,0,0,0
GF,10,10,31,65,90,NaN,0,0,0,0,0,0
GF,10,10,31,65,120,NaN,0,0,0,0,0,0
GF,10,10,35,1,0,0,0,0,0,0,0,0
GF,10,10,35,1,30,NaN,0,0,0,0,0,0
GF,10,10,35,1,60,NaN,0,0,0,0,0,0
GF,10,10,35,1,90,NaN,0,0,0,0,0,0
GF,10,10,35,1,120,NaN,0,0,0,0,0,0
GF,10,10,35,17,0,0,0,0,0,0,0,0
GF,10,10,35,17,30,NaN,0,0,0,0,0,0
GF,10,10,35,17,60,NaN,0,0,0,0,0,0
GF,10,10,35,17,90,NaN,0,0,0,0,0,0
GF,10,10,35,17,120,NaN,0,0,0,0,0,0
GF,10,10,35,33,0,0,0,0,0,0,0,0
GF,10,10,35,33,30,NaN,0,0,0,0,0,0
GF,10,10,35,33,60,NaN,0,0,0,0,0,0
GF,10,10,35,33,90,NaN,0,0,0,0,0,0
GF,10,10,35,33,120,NaN,0,0,0,0,0,0
GF,10,10,35,49,0,0,0,0,0,0,0,0
GF,10,10,35,49,30,NaN,0,0,0,0,0,0
GF,10,10,35,49,60,NaN,0,0,0,0,0,0
GF,10,10,35,49,90,NaN,0,0,0,0,0,0
GF,10,10,35,49,120,NaN,0,0,0,0,0,0
GF,10,10,35,65,0,0,0,0,0,0,0,0
GF,10,10,35,65,30,NaN,0,0,0,0,0,0
GF,10,10,35,65,60,NaN,0,0,0,0,0,0
GF,10,10,35,65,90,NaN,0,0,0,0,0,0
GF,10,10,35,65,120,NaN,0,0,0,0,0,0
GF,10,10,40,1,0,0,0,0,0,0,0,0
GF,10,10,40,1,30,NaN,0,0,0,0,0,0
GF,10,10,40,1,60,NaN,0,0,0,0,0,0
GF,10,10,40,1,90,NaN,0,0,0,0,0,0
GF,10,10,40,1,120,NaN,0,0,0,0,0,0
GF,10,10,40,17,0,0,0,0,0,0,0,0
GF,10,10,40,17,30,NaN,0,0,0,0,0,0
GF,10,10,40,17,60,NaN,0,0,0,0,0,0
GF,10,10,40,17,90,NaN,0,0,0,0,0,0
GF,10,10,40,17,120,NaN,0,0,0,0,0,0
GF,10,10,40,33,0,0,0,0,0,0,0,0
GF,10,10,40,33,30,NaN,0,0,0,0,0,0
GF,10,10,40,33,60,NaN,0,0,0,0,0,0
GF,10,10,40,33,90,NaN,0,0,0,0,0,0
GF,10,10,40,33,120,NaN,0,0,0,0,0,0
GF,10,10,40,49,0,0,0,0,0,0,0,0
GF,10,10,40,49,30,NaN,0,0,0,0,0,0
GF,10,10,40,49,60,NaN,0,0,0,0,0,0
GF,10,10,40,49,90,NaN,0,0,0,0,0,0
GF,10,10,40,49,120,NaN,0,0,0,0,0,0
GF,10,10,40,65,0,0,0,0,0,0,0,0
GF,10,10,40,65,30,NaN,0,0,0,0,0,0
GF,10,10,40,65,60,NaN,0,0,0,0,0,0
GF,10,10,40,65,90,NaN,0,0,0,0,0,0
GF,10,10,40,65,120,NaN,0,0,0,0,0,0
GF,10,33,21,1,0,0,0,0,0,0,0,0
GF,10,33,21,1,30,NaN,0,0,0,0,0,0
GF,10,33,21,1,60,NaN,0,0,0,0,0,0
GF,10,33,21,1,90,NaN,0,0,0,0,0,0
GF,10,33,21,1,120,NaN,0,0,0,0,0,0
GF,10,33,21,17,0,0,0,0,0,0,0,0
GF,10,33,21,17,30,NaN,0,0,0,0,0,0
GF,10,33,21,17,60,NaN,0,0,0,0,0,0
GF,10,33,21,17,90,NaN,0,0,0,0,0,0
GF,10,33,21,17,120,NaN,0,0,0,0,0,0
GF,10,33,21,33,0,0,0,0,0,0,0,0
GF,10,33,21,33,30,NaN,0,0,0,0,0,0
GF,10,33,21,33,60,NaN,0,0,0,0,0,0
GF,10,33,21,33,90,NaN,0,0,0,0,0,0
GF,10,33,21,33,120,NaN,0,0,0,0,0,0
GF,10,33,21,49,0,0,0,0,0,0,0,0
GF,10,33,21,49,30,NaN,0,0,0,0,0,0
GF,10,33,21,49,60,NaN,0,0,0,0,0,0
GF,10,33,21,49,90,NaN,0,0,0,0,0,0
GF,10,33,21,49,120,NaN,0,0,0,0,0,0
GF,10,33,21,65,0,0,0,0,0,0,0,0
GF,10,33,21,65,30,NaN,0,0,0,0,0,0
GF,10,33,21,65,60,NaN,0,0,0,0,0,0
GF,10,33,21,65,90,NaN,0,0,0,0,0,0
GF,10,33,21,65,120,NaN,0,0,0,0,0,0
GF,10,33,26,1,0,0,0,0,0,0,0,0
GF,10,33,26,1,30,NaN,0,0,0,0,0,0
GF,10,33,26,1,60,NaN,0,0,0,0,0,0
GF,10,33,26,1,90,NaN,0,0,0,0,0,0
GF,10,33,26,1,120,NaN,0,0,0,0,0,0
GF,10,33,26,17,0,0,0,0,0,0,0,0
GF,10,33,26,17,30,NaN,0,0,0,0,0,0
GF,10,33,26,17,60,NaN,0,0,0,0,0,0
GF,10,33,26,17,90,NaN,0,0,0,0,0,0
GF,10,33,26,17,120,NaN,0,0,0,0,0,0
GF,10,33,26,33,0,0,0,0,0,0,0,0
GF,10,33,26,33,30,NaN,0,0,0,0,0,0
GF,10,33,26,33,60,NaN,0,0,0,0,0,0
GF,10,33,26,33,90,NaN,0,0,0,0,0,0
GF,10,33,26,33,120,NaN,0,0,0,0,0,0
GF,10,33,26,49,0,0,0,0,0,0,0,0
GF,10,33,26,49,30,NaN,0,0,0,0,0,0
GF,10,33,26,49,60,NaN,0,0,0,0,0,0
GF,10,33,26,49,90,NaN,0,0,0,0,0,0
GF,10,33,26,49,120,NaN,0,0,0,0,0,0
GF,10,33,26,65,0,0,0,0,0,0,0,0
GF,10,33,26,65,30,NaN,0,0,0,0,0,0
GF,10,33,26,65,60,NaN,0,0,0,0,0,0
GF,10,33,26,65,90,NaN,0,0,0,0,0,0
GF,10,33,26,65,120,NaN,0,0,0,0,0,0
GF,10,33,31,1,0,0,0,0,0,0,0,0
GF,10,33,31,1,30,NaN,0,0,0,0,0,0
GF,10,33,31,1,60,NaN,0,0,0,0,0,0
GF,10,33,31,1,90,NaN,0,0,0,0,0,0
GF,10,33,31,1,120,NaN,0,0,0,0,0,0
GF,10,33,31,17,0,0,0,0,0,0,0,0
GF,10,33,31,17,30,NaN,0,0,0,0,0,0
GF,10,33,31,17,60,NaN,0,0,0,0,0,0
GF,10,33,31,17,90,NaN,0,0,0,0,0,0
GF,10,33,31,17,120,NaN,0,0,0,0,0,0
GF,10,33,31,33,0,0,0,0,0,0,0,0
GF,10,33,31,33,30,NaN,0,0,0,0,0,0
GF,10,33,31,33,60,NaN,0,0,0,0,0,0
GF,10,33,31,33,90,NaN,0,0,0,0,0,0
GF,10,33,31,33,120,NaN,0,0,0,0,0,0
GF,10,33,31,49,0,0,0,0,0,0,0,0
GF,10,33,31,49,30,NaN,0,0,0,0,0,0
GF,10,33,31,49,60,NaN,0,0,0,0,0,0
GF,10,33,31,49,90,NaN,0,0,0,0,0,0
GF,10,33,31,49,120,NaN,0,0,0,0,0,0
GF,10,33,31,65,0,0,0,0,0,0,0,0
GF,10,33,31,65,30,NaN,0,0,0,0,0,0
GF,10,33,31,65,60,NaN,0,0,0,0,0,0
GF,10,33,31,65,90,NaN,0,0,0,0,0,0
GF,10,33,31,65,120,NaN,0,0,0,0,0,0
GF,10,33,35,1,0,0,0,0,0,0,0,0
GF,10,33,35,1,30,NaN,0,0,0,0,0,0
GF,10,33,35,1,60,NaN,0,0,0,0,0,0
GF,10,33,35,1,90,NaN,0,0,0,0,0,0
GF,10,33,35,1,120,NaN,0,0,0,0,0,0
GF,10,33,35,17,0,0,0,0,0,0,0,0
GF,10,33,35,17,30,NaN,0,0,0,0,0,0
GF,10,33,35,17,60,NaN,0,0,0,0,0,0
GF,10,33,35,17,90,NaN,0,0,0,0,0,0
GF,10,33,35,17,120,NaN,0,0,0,0,0,0
GF,10,33,35,33,0,0,0,0,0,0,0,0
GF,10,33,35,33,30,NaN,0,0,0,0,0,0
GF,10,33,35,33,60,NaN,0,0,0,0,0,0
GF,10,33,35,33,90,NaN,0,0,0,0,0,0
GF,10,33,35,33,120,NaN,0,0,0,0,0,0
GF,10,33,35,49,0,0,0,0,0,0,0,0
GF,10,33,35,49,30,NaN,0,0,0,0,0,0
GF,10,33,35,49,60,NaN,0,0,0,0,0,0
GF,10,33,35,49,90,NaN,0,0,0,0,0,0
GF,10,33,35,49,120,NaN,0,0,0,0,0,0
GF,10,33,35,65,0,0,0,0,0,0,0,0
GF,10,33,35,65,30,NaN,0,0,0,0,0,0
GF,10,33,35,65,60,NaN,0,0,0,0,0,0
GF,10,33,35,65,90,NaN,0,0,0,0,0,0
GF,10,33,35,65,120,NaN,0,0,0,0,0,0
GF,10,33,40,1,0,0,0,0,0,0,0,0
GF,10,33,40,1,30,NaN,0,0,0,0,0,0
GF,10,33,40,1,60,NaN,0,0,0,0,0,0
GF,10,33,40,1,90,NaN,0,0,0,0,0,0
GF,10,33,40,1,120,NaN,0,0,0,0,0,0
GF,10,33,40,17,0,0,0,0,0,0,0,0
GF,10,33,40,17,30,NaN,0,0,0,0,0,0
GF,10,33,40,17,60,NaN,0,0,0,0,0,0
GF,10,33,40,17,90,NaN,0,0,0,0,0,0
GF,10,33,40,17,120,NaN,0,0,0,0,0,0
GF,10,33,40,33,0,0,0,0,0,0,0,0
GF,10,33,40,33,30,NaN,0,0,0,0,0,0
GF,10,33,40,33,60,NaN,0,0,0,0,0,0
GF,10,33,40,33,90,NaN,0,0,0,0,0,0
GF,10,33,40,33,120,NaN,0,0,0,0,0,0
GF,10,33,40,49,0,0,0,0,0,0,0,0
GF,10,33,40,49,30,NaN,0,0,0,0,0,0
GF,10,33,40,49,60,NaN,0,0,0,0,0,0
GF,10,33,40,49,90,NaN,0,0,0,0,0,0
GF,10,33,40,49,120,NaN,0,0,0,0,0,0
GF,10,33,40,65,0,0,0,0,0,0,0,0
GF,10,33,40,65,30,NaN,0,0,0,0,0,0
GF,10,33,40,65,60,NaN,0,0,0,0,0,0
GF,10,33,40,65,90,NaN,0,0,0,0,0,0
GF,10,33,40,65,120,NaN,0,0,0,0,0,0
GF,10,55,21,1,0,0,0,0,0,0,0,0
GF,10,55,21,1,30,NaN,0,0,0,0,0,0
GF,10,55,21,1,60,NaN,0,0,0,0,0,0
GF,10,55,21,1,90,NaN,0,0,0,0,0,0
GF,10,55,21,1,120,NaN,0,0,0,0,0,0
GF,10,55,21,17,0,0,0,0,0,0,0,0
GF,10,55,21,17,30,NaN,0,0,0,0,0,0
GF,10,55,21,17,60,NaN,0,0,0,0,0,0
GF,10,55,21,17,90,NaN,0,0,0,0,0,0
GF,10,55,21,17,120,NaN,0,0,0,0,0,0
GF,10,55,21,33,0,0,0,0,0,0,0,0
GF,10,55,21,33,30,NaN,0,0,0,0,0,0
GF,10,55,21,33,60,NaN,0,0,0,0,0,0
GF,10,55,21,33,90,NaN,0,0,0,0,0,0
GF,10,55,21,33,120,NaN,0,0,0,0,0,0
GF,10,55,21,49,0,0,0,0,0,0,0,0
GF,10,55,21,49,30,NaN,0,0,0,0,0,0
GF,10,55,21,49,60,NaN,0,0,0,0,0,0
GF,10,55,21,49,90,NaN,0,0,0,0,0,0
GF,10,55,21,49,120,NaN,0,0,0,0,0,0
GF,10,55,21,65,0,0,0,0,0,0,0,0
GF,10,55,21,65,30,NaN,0,0,0,0,0,0
GF,10,55,21,65,60,NaN,0,0,0,0,0,0
GF,10,55,21,65,90,NaN,0,0,0,0,0,0
GF,10,55,21,65,120,NaN,0,0,0,0,0,0
GF,10,55,26,1,0,0,0,0,0,0,0,0
GF,10,55,26,1,30,NaN,0,0,0,0,0,0
GF,10,55,26,1,60,NaN,0,0,0,0,0,0
GF,10,55,26,1,90,NaN,0,0,0,0,0,0
GF,10,55,26,1,120,NaN,0,0,0,0,0,0
GF,10,55,26,17,0,0,0,0,0,0,0,0
GF,10,55,26,17,30,NaN,0,0,0,0,0,0
GF,10,55,26,17,60,NaN,0,0,0,0,0,0
GF,10,55,26,17,90,NaN,0,0,0,0,0,0
GF,10,55,26,17,120,NaN,0,0,0,0,0,0
GF,10,55,26,33,0,0,0,0,0,0,0,0
GF,10,55,26,33,30,NaN,0,0,0,0,0,0
GF,10,55,26,33,60,NaN,0,0,0,0,0,0
GF,10,55,26,33,90,NaN,0,0,0,0,0,0
GF,10,55,26,33,120,NaN,0,0,0,0,0,0
GF,10,55,26,49,0,0,0,0,0,0,0,0
GF,10,55,26,49,30,NaN,0,0,0,0,0,0
GF,10,55,26,49,60,NaN,0,0,0,0,0,0
GF,10,55,26,49,90,NaN,0,0,0,0,0,0
GF,10,55,26,49,120,NaN,0,0,0,0,0,0
GF,10,55,26,65,0,0,0,0,0,0,0,0
GF,10,55,26,65,30,NaN,0,0,0,0,0,0
GF,10,55,26,65,60,NaN,0,0,0,0,0,0
GF,10,55,26,65,90,NaN,0,0,0,0,0,0
GF,10,55,26,65,120,NaN,0,0,0,0,0,0
GF,10,55,31,1,0,0,0,0,0,0,0,0
GF,10,55,31,1,30,NaN,0,0,0,0,0,0
GF,10,55,31,1,60,NaN,0,0,0,0,0,0
GF,10,55,31,1,90,NaN,0,0,0,0,0,0
GF,10,55,31,1,120,NaN,0,0,0,0,0,0
GF,10,55,31,17,0,0,0,0,0,0,0,0
GF,10,55,31,17,30,NaN,0,0,0,0,0,0
